en,es
Passengers also have to put their seatbelts on.,Los pasajeros también tienen que ponerse el cinturón.
I'm going to bed.,¡Me voy a la cama!
Tom wants me to help Mary with her homework.,Tom quiere que ayude a Mary con sus deberes.
You're all crazy.,Todos están locos.
Let's explore Algeria.,Exploremos Argelia.
All the boys fell in love with Julia.,Todos los muchachos se enamoran de Julia.
I'm glad you dropped by.,Me alegra que hayas pasado a verme.
My mom washed all my clothes.,Mi mamá me lavó toda mi ropa.
The doors on the left side will open.,Las puertas abrirán del lado izquierdo.
We have to get out of here.,Tenemos que salir de aquí.
Tom and Mary aren't talking to each other anymore.,Tom y Mary no se hablan más.
It would be fun to see how things change over the years.,Sería divertido ver cómo las cosas cambian a través de los años.
This fish is full of bones; don't eat it.,Este pez está lleno de espinas; no lo comas.
The girl reading a book is Kate.,La muchacha leyendo un libro es Kate.
I don't know what I want to do.,No sé qué quiero hacer.
I guess we wouldn't have been able to carry out the plan if it weren't for your help.,Supongo que no hubiésemos podido llevar a cabo el plan de no ser por tu ayuda.
I want to think about it.,Quiero pensarlo.
Where did you and Mellal buy a Finnish dictionary?,¿Dónde comprasteis Mellal y tu un diccionario de finés?
I borrowed it.,Yo lo tomé prestado.
He gave the boy what little money he had.,Él le dio al chico el poco dinero que tenía.
There was an unfortunate incident at home.,Hubo un desafortunado incidente en casa.
I like studying languages.,Me gusta estudiar lenguas.
Tom abstained from voting.,Tom se abstuvo de votar.
Dan was only six years old when he was abducted.,Dan sólo tenía seis años de edad cuando fue raptado.
That joke isn't funny.,Esa broma no es graciosa.
Tom wants to sit down.,Tom quiere sentarse.
Thomas and Maria took turns standing guard.,Tomás y María se turnaron para la guardia.
They do it faster than me.,Ellos lo hacen más rápido que yo.
You are both cute and nice.,Ambos sois lindos y simpáticos.
I knew that candy wasn't good for my teeth.,Sabía que los caramelos no eran buenos para mis dientes.
I need to find something to open this bottle with.,Necesito encontrar algo para abrir esta botella.
We must work as long as we live.,"Mientras vivamos, debemos trabajar."
It's not as easy as you think.,No es tan fácil como piensas.
I can't stay for long.,No me puedo quedar mucho tiempo.
A singularity is a thermodynamic dead end and does not explain the origin of the universe.,Una singularidad es un callejón sin salida termodinámico y no explica el origen del universo.
"By the way, I have something to tell you.","Por cierto, tengo algo que decirte."
We're being paid in an hour.,Nos van a pagar dentro de una hora.
How did you get to know Mary?,¿Cómo conociste a María?
Professor Smith is recognized to be one of the greatest scholars in English philology.,El profesor Smith es reconocido por ser uno de los más grandes eruditos en la filología inglesa.
Sweden's population is growing.,La población de Suecia está creciendo.
I gave my sister a dictionary.,Le di un diccionario a mi hermana.
I want Tom to understand why I had to do this.,Quiero que Tom entienda por qué tenía que hacer esto.
We weren't able to close the deal.,No pudimos cerrar el trato.
Don't stop.,No te pares.
To study English is important for today's young people.,Estudiar inglés es importante para los jóvenes de hoy.
"She said to herself, ""I am very happy.""","Ella se dijo a sí misma: ""Soy muy feliz."""
That's just something my family does.,Nomás es algo que hace mi familia.
He died last week.,Él murió la semana pasada.
Milk makes us strong.,La leche nos hace fuertes.
Tom left a message for Mary.,Tom dejó un mensaje para Mary.
You're angry with me.,Está enfadada conmigo.
I just wanted to remind you to pick Tom up after school.,Solo quise recordarte de recoger a Tom después de la escuela.
That red-roofed house is my uncle's.,La casa con el techo rojo es de mi tío.
We are from Germany.,Somos de Alemania.
Young children are incapable of abstract thinking.,Los niños pequeños son incapaces de pensar de manera abstracta.
Bill took his brother to the zoo.,Bill llevó a su hermano al zoológico.
He accepted reluctantly.,Aceptó de mal grado.
I've done it all my life.,Lo he hecho durante toda la vida.
The plants must've died because nobody watered them.,Las plantas se habrán muerto porque nadie las regó.
Lorry is good at swimming.,Laurie nada bien.
It's very tough to win.,Es muy difícil ganar.
My phone is out of battery.,A mi teléfono se le agotó la batería.
You may as well go to bed at once.,También podrías irte a la cama de inmediato.
Are you German?,¿Sos alemán?
This building belongs to my family.,Este edificio pertenece a mi familia.
God wants better of us.,Dios quiere algo mejor de nosotros.
Berries are high in minerals such as potassium.,Las bayas son ricas en minerales tales como el potasio.
You don't work in an office.,No trabajás en una oficina.
He wrote a book while in China.,Él ha escrito un libro en China.
The boy sleeps in the living room.,El niño duerme en la sala de estar.
You have to be careful in business.,Uno tiene que ser cauto en los negocios.
I know that you are in love with me.,Sé que ustedes están enamoradas de mí.
You'd better not argue with Tom.,Será mejor que no discutas con Tom.
I'm not good at French.,No soy bueno para el francés.
Don't you dare talk to me like that.,No te atrevas a hablarme así.
He doesn't stop talking.,No para de hablar.
The bill was drifting along for years.,El proyecto de ley quedó a la deriva durante años.
Take your raincoat in case it rains.,Llevad el chubasquero por si llueve.
Mary acknowledged she was upset.,Mary reconoció que estaba molesta.
Aren't you going to spend Christmas with Tom?,¿No vas a pasar la Navidad con Tom?
Tom ended up in Boston.,Tom acabó en Boston
Are you in your right mind?,¿Estáis en vuestros cabales?
He sang some old songs.,Cantó algunas canciones viejas.
He came in fifth in the race.,Él llegó en el quinto lugar en la carrera.
That's my feeling as well.,Ésa es también mi impresión.
It's still too early to get up.,Todavía es demasiado pronto para levantarse.
Which town is most dangerous?,¿Qué ciudad es la más peligrosa?
A bear is bigger than a wolf.,Un oso es más grande que un lobo.
I started a new job last year.,Empecé un nuevo trabajo el año pasado.
My car is older than this tree.,Mi coche es más viejo que este árbol.
We're not going to eat those oranges.,No nos vamos a comer esas naranjas.
Can we talk after class?,¿Podemos hablar después de clases?
How am I supposed to know?,¿Cómo lo voy a saber?
Every child needs someone to look up to and copy.,Todo niño necesita de alguien que admirar e imitar.
Good books are always worth reading.,Siempre vale la pena leer los buenos libros.
I connect to the Internet almost every day.,Me conecto a Internet casi todos los días.
Tom's toys are all made of wood.,Todos los juguetes de Tom son de madera.
I'm making a couple of sandwiches for us.,Estoy haciendo un par de sándwiches para nosotros.
What don't you want me to see?,¿Qué quieres que yo no vea?
We went on talking about the matter.,Seguimos hablando sobre el asunto.
Is this what you want?,¿Es esto lo que quieres?
"The clock has two hands, an hour hand and a minute hand.","El reloj tiene dos manecillas, una para las horas y la otra para los minutos."
Do you mind helping me carry this box upstairs?,¿Te importa ayudarme a llevar esta caja arriba?
Could you please take the dog out for a walk?,¿Podrías sacar al perro a pasear?
The flag on the flagpole is fluttering in the wind.,La bandera en el asta ondea al viento.
It's as cold as ice.,Es tan frío como el hielo.
None of us speaks French.,Ninguno de nosotros habla en francés.
Can you give me some money?,¿Puedes darme algo de dinero?
I'm going to think about it and tell you.,Voy a pensarlo y te digo.
I untied the ribbon.,Desaté la cinta.
Yanni was living there.,Yanni estaba viviendo allí.
"He, just like you, is a good golfer.","Él es un buen golfista, igual que tú."
Tom and Mary went for a walk even though it was raining.,Tom y Mary fueron a dar un paseo a pesar de que estaba lloviendo.
There's still a man buried under the debris.,Todavía hay un hombre sepultado bajo los escombros.
She's making money hand over fist with the business she started.,Ella está ganando un montón de dinero con el negocio que empezó.
Nobody cares what you think.,A nadie le importa lo que tú pienses.
France is in western Europe.,Francia está en la Europa Occidental.
The cookies are under the table.,Las galletas están debajo de la mesa.
The last volume is missing from this set.,Falta el último volumen de esta colección.
He is very bad at inventing excuses.,Él es muy malo inventando excusas.
Bill dove into the river to save the drowning child.,Bill se zambulló en el río para salvar al chico que se ahogaba.
Please shut the door.,"Cierra la puerta, por favor."
She's my wife.,Ella es mi mujer.
You should give up smoking.,Deberías dejar de fumar.
Tom is revising for his exam of tomorrow.,Tom está repasando para su examen de mañana.
She was satisfied.,Ella quedó satisfecha.
He knew intuitively that she was lying.,Él sabía intuitivamente que ella estaba mintiendo.
Do you mean you don't know what happened?,¿Quieres decir que no sabes lo que pasó?
Tom thought this was a good idea.,Tom pensó que era una buena idea.
This cloth has the special ability to be invisible to the stupid and the inept.,Esta tela tenía la característica especial de ser invisible para los estúpidos y los incapaces.
We have nothing else to lose.,No tenemos nada más que perder.
Priscilla Chan is the girlfriend of Mark Zuckerberg.,Priscilla Chan es la novia de Mark Zuckerberg.
It was very foggy.,Había mucha niebla.
"Excuse me, I don't know your patronymic.","Disculpa, no conozco tu patronímico."
Bush respects the Geneva Convention.,Bush respeta el tratado de Ginebra.
I saw Tom's face.,Vi la cara de Tom.
This squash smells like melon.,Esta calabaza huele a melón.
Tom was forced to work.,Tom fue obligado a trabajar.
Bill called me yesterday afternoon.,Bill me llamó ayer por la tarde.
"Although my car is very old, it still runs very well.","A pesar de ser muy viejo, mi coche todavía va muy bien."
I'm free now.,Ahora estoy libre.
It's now December.,Ya es diciembre.
Does he have everything?,¿Tiene todo?
My dogs spend their day playing and running in the yard.,Mis perros se pasan el día jugando y corriendo por el patio.
He has a moustache.,Él tiene bigote.
I have to know what's at stake.,Tengo que saber lo que está en riesgo.
The movie industry became a big business.,La industria del cine se transformó en un gran negocio.
He said that he spoke to her about the talk that he gave at the conference.,Dijo que habló con ella sobre la plática que dio en el congreso.
"Tom, are you able to come tomorrow?","Tom, ¿puedes venir mañana?"
"That terrifies you, doesn't it?","Eso te aterra, ¿no es así?"
I want stability in my life.,Quiero estabilidad en mi vida.
I want to share my innermost thoughts with him.,Quiero compartir mis pensamientos más profundos con él.
Many things were brought to Japan from China.,Muchas cosas llegaron a Japón desde China.
California is famous for its fruits.,California es famosa por sus frutas.
I'll be back in a month.,Vuelvo en un mes.
"One by one, the boys came to see what I was reading.","Uno por uno, los chicos vinieron a ver qué estaba leyendo."
The odour disgusts me.,El olor me repugna.
What is the Internet?,¿Qué es Internet?
Shouldn't you be at work?,¿No deberías estar en el trabajo?.
They pretended they were asleep.,Fingían dormir.
Thank you for inviting me to dinner.,Gracias por haberme invitado a cenar.
The rumor was completely without foundation.,El rumor no tenía fundamento alguno.
"The general had 20/20 hindsight about the defeat, but no foresight at all.","El general supo explicar perfectamente la derrota a posteriori, pero no había previsto nada en absoluto."
He is a poet worthy of the title.,Es un poeta digno de ese apelativo.
Tom pointed at Mary.,Tom apuntó a Mary.
Get away!,¡Largo!
I found her mother dead.,Encontré a su madre muerta.
Tom is back with his ex-wife.,Tom está de vuelta con su exesposa.
"Come on, do it.","Vamos, háganlo."
"Dinner is ready, Father.","La cena está lista, papi."
Classical liberalism deifies abstractions and objectifies humans.,El liberalismo clásico endiosa las abstracciones y cosifica a los humanos.
I want to go to my bed!,¡Quiero irme a mi cama!
We need a tool to open it with.,Necesitamos una herramienta con que abrirla.
A pear isn't enough to fill me up.,Una pera no es suficiente para satisfacerme.
Never have I seen such a thing.,Nunca había visto una cosa así.
I think you did very well.,Creo que lo has hecho bastante bien.
He will study French.,Él estudiará francés.
I don't give a damn about it.,Me importa una mierda.
What are you making now?,¿Qué haces ahora?
What a jerk!,¡Qué cretino!
I can't go back with them.,No puedo volver con ellos.
"Do you like hot, spicy food?",¿Le gusta la comida picante?
Tom sold the bracelet.,Tom vendió la pulsera.
Not a star was to be seen in the sky.,No se veía una estrella en el cielo.
I'm a French teacher.,Soy profesora de francés.
She reserved a room.,Reservó una habitación.
I'll make a cup of coffee for you.,Te prepararé una taza de café.
Do you see that house? That's my house.,¿Ves aquella casa? Esa es mi casa.
My friends invited me for dinner.,Mis amigos me invitaron a cenar.
There's no point arguing about what's true and what's false.,No tiene sentido discutir sobre qué es verdad y qué no.
"My characters all have something of the hero archetype about them, in that they are largely stripped of context.","Todos mis personajes tienen algo del arquetipo de héroe en ellos, que son tremendamente despojados de contexto."
My sisters are physicians.,Mis hermanas son médicas.
I found my watch broken.,Encontré mi reloj roto.
That was absolutely awesome!,¡Eso estuvo absolutamente asombroso!
I hear bats.,Oigo murciélagos.
The snow prevented me from going out.,La nieve me impidió salir.
He repeated it again.,Él lo volvió a repetir.
Cats have nine lives.,Un gato tiene nueve vidas.
Who wants to start?,¿Quién quiere comenzar?
Your friend is tired.,Tu amigo está cansado.
Tom trusts you.,Tom confía en vos.
I'll show you to his office and introduce you to him.,Te enseñaré esta oficina y te lo presentaré.
You looked for it in D.C. last month.,Lo buscaste en Washington el mes pasado.
"Who do you like better, Sachiko or Akiko?","¿Quién te gusta más, Sachiko o Akiko?"
He is a bit like his father.,Él es un poco como su padre.
Tom didn't like what he heard.,A Tom no le ha gustado lo que oyó.
"If you like, I will teach you to play chess.","Si quieres, te enseño ajedrez."
Tom didn't die in vain.,Tom no murió en vano.
Burn this letter after you finish reading it.,Quemad esta carta cuando acabéis de leerla.
Do you get penguins in the Arctic?,¿Viven pingüinos en el Ártico?
This is acceptable.,Esto es aceptable.
Tom put his hand on his heart.,Tom puso la mano en el corazón.
"I meant to call her, but I forgot to.","Pretendía llamarla, pero se me olvidó."
Don't look their daughters in the eyes.,No mires a sus hijas a los ojos.
I plugged in the TV.,Conecté la tele.
He didn't say anything as to whether he was going to pay in cash or by check.,Él no dijo nada en cuanto a si iba a pagar en efectivo o con un cheque.
Tom is quite forgetful.,Tom es bastante olvidadizo.
I want nothing but health.,Lo único que quiero es salud.
The mail is delivered every day.,El correo se reparte cada día.
Is Tom a genius?,¿Es Tom un genio?
What will happen to him?,¿Qué le va a pasar?
The epicycle made it possible for the Greeks to explain the planetary movements.,El epiciclo dio lugar a que los griegos explicasen los movimientos de los planetas.
A genie came out of the bottle.,Un genio salió de la botella.
You got me!,¡Me atrapaste!
You must conquer your fear of the dark.,Debes conquistar tu miedo a la oscuridad.
I eat Japanese food.,Como comida japonesa.
You can't drink seawater because it's too salty.,No puedes beber agua del mar porque es demasiado salada.
We're in the second week of an unrelenting heat wave.,Estamos en la segunda semana de una implacable ola de calor.
"Can I make a telephone call, please?","¿Puedo hacer una llamada telefónica, por favor?"
Mary has an hourglass figure.,Mary tiene forma de reloj de arena.
Have you already done your homework?,¿Ya hiciste tus deberes?
The globe is similar in shape to an orange.,El planeta tiene una forma parecida a la de una naranja.
I want Tom arrested.,Quiero a Tom arrestado.
I need to go into town.,Tengo que ir al centro.
I'm not materialistic.,No soy materialista.
These kids never stop.,Estos niños no paran nunca.
"Are you going to Tom's party? ""I'm still not sure.""",«¿Vas a ir a la fiesta de Tom?» «Todavía no estoy segura.»
I knew who he was.,Sabía quién era él.
She has many friends.,Tiene muchos amigos.
"We waited a long time, but she didn't show up.","Esperamos mucho rato, pero no apareció."
I'll pick you up at 2:30.,Te iré a buscar a las 2:30.
She was asked to account for her conduct.,Se le pidió que rindiera cuentas de su conducta.
I'm looking for someone who can speak Portuguese.,Busco a alguien que sepa portugués.
"When you go to Romania, you will visit Dracula's Castle.","Cuando vayas a Rumanía, ¿visitarás el castillo de Drácula?"
You look as beautiful as ever.,Estás más linda que nunca.
Try this.,Prueba esto.
He took me by the arm.,Me tomó del brazo.
Now she understands what I mean.,Ahora ella entiende a qué me refiero.
Will you be at home tonight?,¿Estarás en casa esta noche?
He wonders if you are afraid of snakes.,Él se pregunta si a ti te dan miedo las serpientes.
It's too bad she's ill.,Es una pena que esté enferma.
I have a lot of calls to make.,Tengo un montón de llamadas que hacer.
I have been a disappointment to my parents.,He sido una decepción para mis padres.
I haven't got a car.,No tengo coche.
Did you rent an apartment?,¿Alquilaste un apartamento?
The children are riding their bikes.,Los niños están andando en sus bicicletas.
I am badly in need of your help.,Necesito mucho tu ayuda.
"I cannot claw my owner, said the cat.","No puedo arañar a mi dueño, dijo el gato."
Please bring me a glass of water.,"Tráigame un vaso de agua, por favor."
You've still got all your life in front of you.,Sin embargo todavía tienes toda una vida por delante.
"I'm sorry, but I have some bad news.","Lo siento, pero tengo una mala noticia."
I'm awake now.,Estoy despierto ahora.
I eat fish at least once a week.,Como pescado por lo menos una vez a la semana.
Please bring me a menu.,"Tráigame el menú, por favor."
Can't we go with Tom?,¿No podemos ir con Tom?
Were you able to find the book?,¿Pudiste encontrar el libro?
That's terrifying.,Eso es terrorífico.
I am so busy that I can't help you.,Estoy tan ocupada que no puedo ayudarlo.
"Love people, and they'll love you too.",Ama a las personas y ellas también te amarán.
I don't want to die tomorrow.,No quiero morir mañana.
The jewels on display disappeared.,Las joyas en exposición desaparecieron.
I think that you won't be able to do it.,Creo que no podrás hacerlo.
Atoms form molecules.,Los átomos forman moléculas.
"Yesterday was Tuesday, January 26, 2010.",Ayer fue martes 26 de enero del 2010.
I like this blue dress.,Me gusta este vestido azul.
She's a slacker.,Ella es una vaga.
"Don't eat that, it's expired.","No te comas eso, está caducado."
I suppose there's nothing left to say.,Supongo que no hay más que hablar.
Why are you so gloomy?,¿Por qué estás tan melancólico?
The well ran dry.,El pozo se secó.
They had a great time.,Se lo pasaron estupendamente.
Tom doesn't believe Mary. He thinks she's lying.,Tom no le cree a María. Él cree que ella miente.
I'll make you happy no matter what happens.,Te haré feliz pase lo que pase.
"From a strictly scientific point of view, history cannot be called a science.","Desde un punto de vista estrictamente científico, la historia no puede llamarse una ciencia."
I told Tom about it.,Le dije a Tom al respecto.
Do you have any family in Germany?,¿Tienes familia en Alemania?
Get out before your mom sees us.,Vete antes de que nos vea tu madre.
He watches television before studying.,Mira la televisión antes de estudiar.
He was buried in this graveyard.,Él fue enterrado en este cementerio.
"First, we stuff the chicken breast with ham and cheese.","Primero, rellenamos la pechuga de pollo con jamón y queso."
My house is near the church.,Mi casa está cerca de la iglesia.
Tom fell off the roof and broke three ribs.,Tom se cayó del techo y se rompió tres costillas.
They still don't understand anything.,Ellos todavía no entienden nada.
He had bought a dog.,Había comprado un perro.
She wouldn't be happy with him.,Ella no estaría feliz con él.
He gave me an album as a birthday present.,Él me dio un álbum como regalo de cumpleaños.
"Of two evils, choose the lesser.","Entre dos males, elige el menor."
Does she play piano?,¿Ella toca el piano?
I'd rather die than yield to this sort of demand.,Preferiría morirme antes que ceder a una petición de este tipo.
Communication takes many forms.,La comunicación toma múltiples formas.
Tom called Mary and canceled their date.,Tom llamó a Mary y canceló su cita.
I love my job.,Me gusta el empleo que tengo.
"If we're going to do this, let's do it right.","Si vamos a hacer esto, hagámoslo ahora."
Tom looks worried and confused.,Tom parece preocupado y confundido.
I'm looking for a gift for my wife.,Estoy buscando un regalo para mi mujer.
Tom is the first guy Mary has really been interested in since she broke up with John.,Tom es el primer chico en el que Mary ha estado verdaderamente interesada desde que rompió con John.
Tom doesn't like to drink.,A Tom no le gusta beber.
"I love music, too.",A mí también me gusta la música.
I want a book.,Quiero un libro.
This is the best cake that I have ever eaten.,Éste es el mejor pastel que he comido hasta ahora.
"Without his glasses, he is as blind as a bat.","Sin sus lentes, él es ciego como un murciélago."
You must keep your hands clean.,Tienes que mantener tus manos limpias.
I'm more afraid of them than I am of you.,Le tengo más miedo a ellos del que le tengo a ustedes.
My teacher is Mr. Haddad.,Mi maestro es el señor Haddad.
"Both products have the same price, but their production costs are very different.","Ambos productos tienen el mismo precio, pero sus precios de producción son muy diferentes."
Their eyes met.,Las miradas se cruzaron.
We are aiming at the pigeons.,Les estamos apuntando a las palomas.
Everyone is waiting for Tom.,Todos están esperando a Tom.
The reward is a job well done.,La recompensa es el trabajo bien hecho.
Look in the rear-view mirror before backing up.,Mira por el retrovisor antes de dar marcha atrás.
Can you climb the tree?,¿Puedes trepar al árbol?
You gave it to me.,Me lo diste.
The balloon will burst.,El globo se va a reventar.
Do you think I'm crazy?,¿Creés que estoy loco?
The sky is becoming cloudy.,El cielo se está nublando.
You forgot to flush the toilet.,Te has olvidado tirar de la cadena.
Tell us more.,Dígannos más.
They don't drink.,Ellos no ingieren alcohol.
I wish I could play guitar like you.,Me gustaría poder tocar la guitarra como tú.
See you in three weeks.,Los veré en tres semanas.
"Excuse me, but where is the library?","Perdone, pero ¿dónde está la biblioteca?"
Why don't we sit down and talk about it?,¿Por qué no nos sentamos y lo hablamos?
"Which is closer to Arabic in terms of sound, Spanish or Portuguese?","¿Cuál es más próximo al árabe en cuanto al sonido, el español o el portugués?"
Mary is clearly convinced that nobody will be able to do it.,Mary está plenamente convencida de que nadie lo va a lograr.
Where can I learn French?,¿Dónde puedo aprender francés?
Don't tell lies.,¡No mientas!
Spanish and Italian are a lot alike.,El español y el italiano son muy similares.
Tom was too tired to even smile at Mary.,Tom estaba demasiado cansado siquiera para sonreírle a Mary.
What is the best remedy for colds?,¿Cuál es el mejor remedio para el resfrío?
You could have been happy.,Podrías haber sido feliz.
This sentence contains several mistakes.,Esta frase incluye varios errores.
Tom said that he was worn out.,Tom dijo que estaba exhausto.
He did poorly in his studies.,Él tuvo un mal empeño en sus estudios.
All you have to do is sweep the floor.,Todo lo que tienes que hacer es barrer el piso.
"Come on, let's get the bus.","Vamos, subámonos al bus."
Tom has put his car up for sale.,Tum puso en venta su auto.
I didn't see Tom.,No vi a Tom.
Show him who's boss.,Enséñale quién es el jefe.
I really thought I'd win.,Yo realmente creí que ganaría.
I let him do it.,Le dejé hacerlo.
Now get in.,Ahora entren.
We'll let it go for the present.,Por hoy lo dejaremos pasar.
I adore women's volleyball.,Adoro el voleibol femenino.
We're going to blow this place up.,Vamos a volar por los aires este lugar.
I wasn't frightened.,No tuve miedo.
Look at all the trash in this house!,¡Mira toda la basura en esta casa!
Do you really want to wait for two hours?,¿De verdad quieres esperar dos horas?
Mary can't come. She has to take care of her daughter.,Mary no puede venir. Tiene que cuidar a su hija.
"If you're not in a hurry, please stay a little longer.","Si no estás apurado, quedate un poco más, por favor."
She will come here before long.,Ella vendrá aquí antes de que pase mucho tiempo.
Please complete the sentences.,"Por favor, complete las oraciones."
What a novel idea!,¡Qué idea tan novedosa!
It was just an accident.,Solo fue un accidente.
She deciphered a message.,Ella descifró un mensaje.
It will be difficult for him to speak in public.,Va a ser difícil para él hablar en público.
I don't know what's going to happen.,No sé qué va a pasar.
What did we miss?,¿Qué nos hemos perdido?
Tom cooks well.,Tom cocina bien.
He came home when we were about to head out.,Él llegó a casa justo cuando salíamos.
Tom banged the table with his fist.,Tom golpeó la mesa con su puño.
Tom drowned.,Tomás se ahogó.
Did you hear what we said?,¿Oíste lo que dijimos?
The river flows down to the sea.,El río fluye hasta el mar.
He had an accident and broke his leg.,Él tuvo un accidente y se fracturó la pierna.
How is it that you know so much about Japanese history?,¿Cómo es que sabes tanto sobre la historia de Japón?
Her proficiency in English rapidly improved.,Su nivel de inglés mejoró rápidamente.
You never have time for important things!,¡Nunca tienes tiempo para las cosas importantes!
I'm falling in love with the Russian language.,Me estoy enamorando de la lengua rusa.
There is a Picasso on the wall.,Hay un Picasso en la pared.
Don't you have a smaller ticket?,¿No tienes un billete más pequeño?
It was a lucky guess.,Fue un golpe de suerte.
I thought I could count on you.,Pensé que podría contar con vos.
There's a problem I have to talk to you about.,Hay un problema sobre el cual tengo que hablar contigo.
I ate boiled eggs.,He comido huevo cocido.
Please send it to me by fax.,"Por favor, mándamelo por fax."
"Egypt, a Muslim-majority country, has a notable Christian community.","Egipto, un país de mayoría musulmana, tiene una comunidad crisitiana notable."
I've always liked playing football.,Siempre me ha gustado jugar al fútbol.
Mary is anorexic.,María es anoréxica.
Mary's smiling face let everyone know that she was happy.,El rostro sonriente de Mary hizo saber a todos que estaba feliz.
My telephone plan does not cover collect calls.,Mi plan telefónico no acepta llamadas a cobrar.
Did any of you guys understand this?,¿Alguno de ustedes entendió esto?
Dance with me.,Baila conmigo.
We went to the café that I told you about.,Fuimos a la cafetería que te conté.
The meeting took place last month.,La reunión se realizó el mes pasado.
This is the biggest hotel in this city.,Es el hotel más grande de la ciudad.
You're the only friend I have.,Eres mi único amigo.
You're not dogs.,No sois perros.
I didn't mind doing that at all.,Para nada me importó hacerlo.
Supplies were very low.,Había muy pocos suministros.
Yesterday I saw a film in which a prisoner escaped from his cell using a chisel.,Ayer vi una película en la que un preso se fugaba de su celda usando un cincel.
I don't need to go out.,Yo no necesito salir.
Who controls the internet?,¿Quién controla el Internet?
The group tried to solve social problems.,El grupo trataba de resolver problemas sociales.
That's my favorite brand.,Esa es mi marca favorita.
Be fair.,Sé justo.
I can't believe he left me for that whore!,¡No puedo creer que él me haya dejado por esa puta!
Patricia approached the house.,Patricia se acercó a la casa.
He said he loved animals.,Dijo que amaba a los animales.
The protection circuit is built into the system.,El circuito de protección está integrado en el sistema.
I forgot my jacket.,Olvidé mi chaqueta.
This is the cheapest shop in the town.,Esa es la tienda más barata de la ciudad.
Why aren't you eating anything?,¿Por qué no estás comiendo algo?
I don't think that I have one of those yet.,Creo que aún no tengo uno de esos.
She is rich but he is poor.,"Ella es rica, pero él es pobre."
Yanni wants to do that with Skura.,Yanni quiere hacer eso con Skura.
I was forced to take medicine.,Me obligaron a que tomara la medicina.
You won't believe how beautiful the garden is at fall.,No puedes creer lo hermoso que es el jardín en el otoño.
The light went out by itself.,La luz se apagó sola.
I cannot lie to you.,A ti no te puedo mentir.
He sold his business and retired.,Vendió su negocio y se jubiló.
Tom handed Mary his knife.,Tom le pasó su cuchillo a Mary.
The meadow is full of frogs.,El prado está lleno de ranas.
He cared for his mother after his father died.,Cuidó de su madre después de que muriera su padre.
Would you like a pillow?,¿Te gustaría una almohada?
I have a bad feeling about this.,Esto no me pinta nada bien.
Wine goes to my head.,El vino se me sube a la cabeza.
It is true that she teaches French at school.,Es verdad que ella enseña francés en la escuela.
I'm getting worse.,Estoy empeorando.
"To say is one thing, and to do quite another.",Decir es una cosa y hacer es otra bastante diferente.
I didn't know whether I wanted to go to university.,No sabía si quería ir a la universidad.
My mother is sick in bed.,Mi madre está en cama enferma.
I fear for the future of humanity.,Temo por el futuro de la humanidad.
Is he aware of the difficulty?,¿Es consciente de la dificultad?
Do you have any plans for the summer vacation?,¿Tienes planes para las vacaciones de verano?
Our factories are working perfectly.,Nuestras fábricas están funcionando perfectamente.
I have a biro.,Tengo un boli.
There were no objections from the owner.,De parte del propietario no hubo objeciones.
All my efforts went for nothing.,Todo mi esfuerzo fue en vano.
Would you mind if I smoke here?,¿Te importaría si fumo aquí?
I went to swim in the river yesterday.,Ayer fui a nadar al río.
"Turn off the light, please.","Apaga la luz, por favor."
I've learned Berber.,He aprendido bereber.
Tom was the one who put out the fire.,Tom fue el que apagó el fuego.
I want it by today!,¡Lo quiero para hoy!
I don't deserve you.,No te merezco.
I was looking for something.,Estaba buscando algo.
Here's a letter for you.,Aquí hay una carta para usted.
Tom told me that he bought a house in Australia.,Tom me dijo haber comprado una casa en Australia.
The look on my boss's face was severe.,La mirada en el rostro de mi jefe era severa.
Tom jumped.,Tom saltó.
Your tooth must be extracted.,Hay que extraerte el diente.
He's so thin that he looks like a skeleton.,Él está tan delgado que parece un saco de huesos.
I'm more beautiful than you.,Soy más guapa que vosotras.
Do you know how to work this machine?,¿Sabes cómo usar esta máquina?
They were all surprised to see me there.,Todos estaban sorprendidos de verme allí.
He didn't remember that he had to go to class.,No se acordó de que tenía que ir a clase.
That's what you all say.,Eso es lo que todos ustedes dicen.
I come home at two thirty.,Vengo a la casa a las dos y media.
A housewife has many domestic duties.,Una ama de casa tiene muchos deberes domésticos.
Did you write this book?,¿Has escrito tú este libro?
I worked three years as Tom's assistant.,Le serví tres años de ayudante a Tom.
"If you feed your dog properly, you can increase his lifespan.","Si alimentas adecuadamente a tu perro, puedes aumentar su periodo de vida."
I told you that I'd help you.,Te dije que te iba a ayudar.
Atomic bombs are a danger to the human race.,Las bombas atómicas son un peligro para la raza humana.
Don't take any unnecessary risks.,No corras riesgos innecesarios.
Do you feel like going out for a walk?,¿Le apetece salir a dar un paseo?
She was surprised when she saw the ghost.,Ella estaba sorprendida cuando vio al fantasma.
Mary couldn't manage to find a suitable sentence to end her novel.,Mary no lograba encontrar una frase adecuada para el final de su novela.
"Finally, she chose another kitten.","Al final, ella escogió otro gatito."
She dances well.,Ella baila bien.
Let's do this again.,Hagamos esto de nuevo.
Tom put his shirt on a hanger.,Tom puso su camisa en un colgador.
Is he my friend?,¿Es él mi amigo?
They have developed sophisticated computers.,Ellos han desarrollado ordenadores sofisticados.
We can't ignore this problem.,No podemos ignorar este problema.
